Sample in Buffer,Sample in Window,TRIGGER,audio_bd_i/system_ila_0/U0/probe0_1[9:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED
0,0,0,138
1,1,0,138
2,2,0,138
3,3,0,138
4,4,0,138
5,5,0,138
6,6,0,138
7,7,0,138
8,8,0,138
9,9,0,138
10,10,0,138
11,11,0,138
12,12,0,138
13,13,0,138
14,14,0,138
15,15,0,138
16,16,0,138
17,17,0,138
18,18,0,138
19,19,0,138
20,20,0,138
21,21,0,138
22,22,0,138
23,23,0,138
24,24,0,138
25,25,0,138
26,26,0,138
27,27,0,138
28,28,0,138
29,29,0,138
30,30,0,138
31,31,0,138
32,32,0,138
33,33,0,138
34,34,0,138
35,35,0,138
36,36,0,138
37,37,0,138
38,38,0,138
39,39,0,138
40,40,0,138
41,41,0,138
42,42,0,138
43,43,0,138
44,44,0,138
45,45,0,138
46,46,0,138
47,47,0,138
48,48,0,138
49,49,0,138
50,50,0,138
51,51,0,138
52,52,0,138
53,53,0,138
54,54,0,138
55,55,0,138
56,56,0,138
57,57,0,138
58,58,0,138
59,59,0,138
60,60,0,138
61,61,0,138
62,62,0,138
63,63,0,138
64,64,0,138
65,65,0,138
66,66,0,138
67,67,0,138
68,68,0,138
69,69,0,138
70,70,0,138
71,71,0,138
72,72,0,138
73,73,0,138
74,74,0,138
75,75,0,138
76,76,0,138
77,77,0,138
78,78,0,138
79,79,0,138
80,80,0,138
81,81,0,138
82,82,0,138
83,83,0,138
84,84,0,138
85,85,0,138
86,86,0,138
87,87,0,138
88,88,0,138
89,89,0,138
90,90,0,138
91,91,0,138
92,92,0,138
93,93,0,138
94,94,0,138
95,95,0,138
96,96,0,138
97,97,0,138
98,98,0,138
99,99,0,138
100,100,0,138
101,101,0,138
102,102,0,138
103,103,0,138
104,104,0,138
105,105,0,138
106,106,0,138
107,107,0,138
108,108,0,138
109,109,0,138
110,110,0,138
111,111,0,138
112,112,0,138
113,113,0,138
114,114,0,138
115,115,0,138
116,116,0,138
117,117,0,138
118,118,0,138
119,119,0,138
120,120,0,138
121,121,0,138
122,122,0,138
123,123,0,138
124,124,0,138
125,125,0,138
126,126,0,138
127,127,0,138
128,128,0,138
129,129,0,138
130,130,0,138
131,131,0,138
132,132,0,138
133,133,0,138
134,134,0,138
135,135,0,138
136,136,0,138
137,137,0,138
138,138,0,138
139,139,0,138
140,140,0,138
141,141,0,138
142,142,0,138
143,143,0,138
144,144,0,138
145,145,0,138
146,146,0,138
147,147,0,138
148,148,0,138
149,149,0,138
150,150,0,138
151,151,0,138
152,152,0,138
153,153,0,138
154,154,0,138
155,155,0,138
156,156,0,138
157,157,0,138
158,158,0,138
159,159,0,138
160,160,0,138
161,161,0,138
162,162,0,138
163,163,0,138
164,164,0,138
165,165,0,138
166,166,0,138
167,167,0,138
168,168,0,138
169,169,0,138
170,170,0,138
171,171,0,138
172,172,0,138
173,173,0,138
174,174,0,138
175,175,0,138
176,176,0,138
177,177,0,138
178,178,0,138
179,179,0,138
180,180,0,138
181,181,0,138
182,182,0,138
183,183,0,138
184,184,0,138
185,185,0,138
186,186,0,138
187,187,0,138
188,188,0,138
189,189,0,138
190,190,0,138
191,191,0,138
192,192,0,138
193,193,0,138
194,194,0,138
195,195,0,138
196,196,0,138
197,197,0,138
198,198,0,138
199,199,0,138
200,200,0,138
201,201,0,138
202,202,0,138
203,203,0,138
204,204,0,138
205,205,0,138
206,206,0,138
207,207,0,138
208,208,0,138
209,209,0,138
210,210,0,138
211,211,0,138
212,212,0,138
213,213,0,138
214,214,0,138
215,215,0,138
216,216,0,138
217,217,0,138
218,218,0,138
219,219,0,138
220,220,0,138
221,221,0,138
222,222,0,138
223,223,0,138
224,224,0,138
225,225,0,138
226,226,0,138
227,227,0,138
228,228,0,138
229,229,0,138
230,230,0,138
231,231,0,138
232,232,0,138
233,233,0,138
234,234,0,138
235,235,0,138
236,236,0,138
237,237,0,138
238,238,0,138
239,239,0,138
240,240,0,138
241,241,0,138
242,242,0,138
243,243,0,138
244,244,0,138
245,245,0,138
246,246,0,138
247,247,0,138
248,248,0,138
249,249,0,138
250,250,0,138
251,251,0,138
252,252,0,138
253,253,0,138
254,254,0,138
255,255,0,138
256,256,0,138
257,257,0,138
258,258,0,138
259,259,0,138
260,260,0,138
261,261,0,138
262,262,0,138
263,263,0,138
264,264,0,138
265,265,0,138
266,266,0,138
267,267,0,138
268,268,0,138
269,269,0,138
270,270,0,138
271,271,0,138
272,272,0,138
273,273,0,138
274,274,0,138
275,275,0,138
276,276,0,138
277,277,0,138
278,278,0,138
279,279,0,138
